order_id,customer_id,customer_name,product_id,product_name,product_category,country,payment_type,city,qty,price,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,datetime
1,58,Gavin,5,Bluetooth Headphones,electronics,UK,Debit Card,Manchester,4,856.0,Ali Express,10001,N,Network Issue,2023-09-25 03:25:12
2,94,Rose,33,Gloves,clothing,Germany,Debit Card,Berlin,6,60.0,Ebay,10002,N,Insufficient Funds,2021-12-17 06:33:05
3,34,Isabelle,12,Router,electronics,Germany,Debit Card,Berlin,9,900.0,Ebay,10003,Y,N/A,2021-09-27 06:42:42
4,83,Null,26,None,_-,Germany,Debit Card,None,,,Ali Express,10004,Y,N/A,2020-03-04 04:35:56
5,53,Bella,35,Suit,clothing,UK,Cryptocurrency,Manchester,2,436.0,Argos,10005,Y,N/A,2020-08-31 02:59:51
6,95,Simon,10,Power Bank,electronics,Germany,Debit Card,Berlin,6,600.0,Ebay,10006,N,Card Expired,2023-07-06 03:17:42
7,52,Adam,89,Yoga Mat,sports,UK,Cryptocurrency,London,4,84.0,Argos,10007,Y,N/A,2020-05-21 04:53:14
8,58,Gavin,22,Hoodie,clothing,Germany,Debit Card,Hamburg,3,69.0,Ali Express,10008,N,Insufficient Funds,2021-02-17 05:27:29
9,21,Null,58,-1,!@$@,Germany,Debit Card,"",,,Ebay,10009,N,Card Expired,2024-10-26 04:05:15
10,7,Henry,29,Sweater,clothing,USA,Credit Card,New York,4,148.0,Amazon,10010,Y,N/A,2023-01-12 16:37:47
11,60,Ivan,0,Smartphone,electronics,Germany,Debit Card,Berlin,8,4000.0,Ebay,10011,Y,N/A,2024-12-29 04:38:33
12,20,Uma,24,Formal Shirt,clothing,India,PayPal,New Delhi,4,129.0,Ali Express,10012,N,Network error,2024-05-07 09:36:23
13,99,Whitney,68,Fantasy Book,books,Germany,Debit Card,Berlin,7,252.0,Ebay,10013,Y,N/A,2021-05-05 20:35:07
14,4,Edward,53,Induction Cooktop,home appliances,USA,Credit Card,LA,7,1344.0,Amazon,10014,Y,N/A,2021-02-27 16:48:13
15,92,Patrick,36,Tie,clothing,USA,Debit Card,New York,6,150.0,Amazon,10015,N,Incufficient Funds,2021-04-18 19:07:15
16,51,Zoe,7,Gaming Console,electronics,UK,Debit Card,Manchester,2,400.0,Argos,10016,Y,N/A,2022-02-11 03:00:27
17,81,Eliza,67,Children's Book,books,USA,Credit Card,LA,11,1067.0,Amazon,10017,Y,N/A,2022-04-25 16:13:28
18,29,Daniel,22,Hoodie,clothing,UK,Cryptocurrency,Manchester,2,46.0,Argos,10018,Y,N/A,2020-05-31 19:26:34
19,46,Ulrich,0,Smartphone,electronics,USA,Debit Card,New York,2,1000.0,Amazon,10019,Y,N/A,2024-12-14 18:12:59
20,2,Charlie,10,Power Bank,electronics,Germany,Debit Card,Berlin,6,600.0,Ebay,10020,Y,N/A,2022-01-03 03:21:13
21,88,Liam,68,Fantasy Book,books,Germany,Debit Card,Hamburg,9,324.0,Ali Express,10021,Y,N/A,2022-09-27 03:38:17
22,78,Brandon,35,Suit,clothing,USA,Credit Card,New York,12,2616.0,Amazon,10022,Y,N/A,2024-07-26 16:02:45
23,69,Sarah,72,Graphic Novel,books,Germany,Debit Card,Hamburg,8,296.0,Ali Express,10023,Y,N/A,2020-04-10 04:47:25
24,44,Samuel,29,Sweater,clothing,USA,Debit Card,New York,9,333.0,Amazon,10024,Y,N/A,2024-04-17 16:42:23
25,14,Olivia,64,Biography,books,USA,Credit Card,LA,6,72.0,Amazon,10025,Y,N/A,2023-11-18 19:30:17
26,83,Gemma,85,Baseball Glove,sports,USA,Debit Card,New York,12,504.0,Amazon,10026,Y,N/A,2023-05-24 16:32:20
27,98,Victor,44,Vacuum Cleaner,home appliances,USA,Debit Card,New York,2,96.0,Amazon,10027,Y,N/A,2023-07-15 16:25:31
28,40,Ophelia,74,Philosophy Book,books,UK,Cryptocurrency,London,3,111.0,Argos,10028,Y,N/A,2020-06-21 00:00:02
29,28,Chloe,74,Philosophy Book,books,Germany,Debit Card,Berlin,7,259.0,Ebay,10029,Y,N/A,2022-11-22 04:31:56
30,21,Victor,1,Laptop,electronics,USA,Credit Card,LA,14,9800.0,Amazon,10030,N,Incufficient Funds,2023-06-25 17:58:04
31,87,Kylie,4,Smartwatch,electronics,USA,Credit Card,LA,5,1000.0,Amazon,10031,Y,N/A,2021-03-10 16:12:17
32,0,Alice,15,Keyboard,electronics,USA,Credit Card,LA,4,360.0,Amazon,10032,N,Card Expired,2021-10-31 17:57:31
33,19,Tina,58,Slow Cooker,home appliances,USA,Debit Card,New York,4,900.0,Amazon,10033,Y,N/A,2023-02-25 18:28:55
34,33,Harry,70,Cookbook,books,USA,Credit Card,LA,2,34.0,Amazon,10034,Y,N/A,2021-12-25 18:26:40
35,54,Caleb,26,Dress,clothing,Germany,Debit Card,Berlin,2,90.0,Ebay,10035,N,Card Expired,2022-03-25 04:57:13
36,20,Uma,87,Table Tennis Paddle,sports,USA,Credit Card,LA,1,68.0,Amazon,10036,Y,N/A,2024-08-12 17:54:02
37,61,Jenna,50,Rice Cooker,home appliances,UK,Debit Card,Manchester,1,70.0,Argos,10037,N,Insufficient Funds,2024-10-01 02:10:31
38,69,Sarah,79,Encyclopedia,books,USA,Credit Card,LA,11,198.0,Amazon,10038,N,Incufficient Funds,2022-12-10 16:00:02
39,78,Brandon,14,External Hard Drive,electronics,UK,Debit Card,Manchester,1,80.0,Argos,10039,Y,N/A,2024-01-05 00:33:00
40,34,Isabelle,44,Vacuum Cleaner,home appliances,India,PayPal,Mumbai,1,12.0,Ali Express,10040,Y,N/A,2021-11-22 12:42:51
